n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
6383 – 6384 – 6385;1956;R 469.3 / Sp 761d;Dicionário Analógico da Língua Portuguesa;Spitzer_ Carlos ;3;1-Língua Portuguesa – Analógica /2-Literatura Portuguesa - Dicionários
0075/05 – 0076/05 / 0077/05;1976;918.1 / Sp 761v;Viagem pelo Brasil;Spix_ Johann Baptist & Martius;3;Brasil – História
1211/84;1976;R 649 / Sp762m;Meu Filho_ meu tesouro. Como criar seus filhos com bom senso e carinho;Spock_ Benjamin ;1;Puericultura
0420/96;1976;649.1 / Sp 762c;Criando Filhos em Tempos Difíceis;Spock_ Benjamin ;1;Pais e Filhos – Estados Unidos
0191/13;2012;869.93 / Sp 762b;A batalha do Apocalipse;Spohr_ Eduardo;1;Fim do mundo - Ficcção / Literatura Brasileira - Ficção
592/89;1966;823 / Sp 769m;Meu _ Meu Filho!;Spring_ Howard ;1;Literatura  Inglesa – Romance
673/75;1957;823 / Sp 769e;Entre o Sonho e a Realidade;Spring_ Howard ;1;Literatura  Inglesa – Romance
1307/95;1993;J 028.5 / Sp 771t;Thomas Edison;Sproule_ Anna ;1;Literatura Juvenil
1309/95;1993;J 028.5 / Sp 771j;James Watt;Sproule_ Anna ;1;Literatura Juvenil
1308/95;1993;J 028.5 / Sp 771c;Charles Darwin;Sproule_ Anna ;1;Literatura Juvenil
1179/97;1973;J 028.5 / Sp 772h;Heidi;Spyri_ Johanna ;1;Literatura Juvenil
1501/90;1973;J 028.5 / Sp 772h;Heidi;Spyri_ Johanna ;1;Literatura Juvenil
449/81;1972;J 028.5 / Sp 772o;Outra Vez Heidi;Spyri_ Johanna ;1;Literatura Juvenil
825/87;c. 1974;J 028.5 / Sp 772m;O Menino Sem Pátria;Spyri_ Johanna ;1;Literatura Juvenil
1873/90;1971;613.7 / Sr 774q;14 (quatorze) lições de Raja - Yoga;Sri Swami Savananda;1;1-Sivananda /2-Raja - Yoga
